implementation_id,display_name,run_status,metric_key,panels,direction,analysis_unit,seed_count,mean,sample_standard_deviation,seed_0,seed_1,seed_2,n_samples,n_qa,run_id,artifact_sha256
wma-base-model,BaseModel (answer-only),PENDING,question_answering.retrieval_ranking.recall_at.1,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_answering.retrieval_ranking.recall_at.10,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_answering.retrieval_ranking.recall_at.5,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,runtime.answer_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,runtime.retrieval_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,runtime.storage_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,timing.total_seconds,efficiency,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,token_usage.answer.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,token_usage.answer.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,token_usage.answer.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,token_usage.judge.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,token_usage.judge.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,token_usage.judge.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,token_usage.retrieval.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,token_usage.retrieval.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,token_usage.retrieval.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,token_usage.storage.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,token_usage.storage.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,token_usage.storage.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
